"avg_prop_infected","avg_num_infected"
0.487485692483785,2555.4
0.574360930942388,3010.8
0.594429607020221,3116
0.607058374666158,3182.2
0.608698969858833,3190.8
0.611903853491034,3207.6
0.612514307516215,3210.8
0.61186570011446,3207.4
0.614841663487219,3223
0.611942006867608,3207.8
0.616367798550172,3231
0.612972148035101,3213.2
0.617665013353682,3237.8
0.614917970240366,3223.4
0.615795497901564,3228
0.616215185043876,3230.2
0.61594811140786,3228.8
0.615223197252957,3225
0.611674933231591,3206.4
0.611484166348722,3205.4
0.614421976344907,3220.8
0.612209080503625,3209.2
0.615490270888974,3226.4
0.613964135826021,3218.4
0.614803510110645,3222.8
0.61575734452499,3227.8
0.618237314002289,3240.8
0.611674933231591,3206.4
0.614383822968333,3220.6
0.61316291491797,3214.2
0.613429988553987,3215.6
0.614040442579168,3218.8
0.613201068294544,3214.4
0.614421976344907,3220.8
0.612323540633346,3209.8
0.614612743227776,3221.8
0.611217092712705,3204
0.611598626478443,3206
0.614765356734071,3222.6
0.615909958031286,3228.6
0.614421976344907,3220.8
0.611293399465853,3204.4
0.615719191148417,3227.6
0.61495612361694,3223.6
0.612476154139641,3210.6
0.615909958031286,3228.6
0.614574589851202,3221.6
0.612323540633346,3209.8
0.613773368943151,3217.4
0.614231209462037,3219.8
0.613925982449447,3218.2
0.61007249141549,3198
0.614498283098054,3221.2
0.613849675696299,3217.8
0.609919877909195,3197.2
0.609805417779474,3196.6
0.616940099198779,3234
0.613887829072873,3218
0.614421976344906,3220.8
0.613582602060282,3216.4
0.610835558946967,3202
0.614727203357497,3222.4
0.616596718809615,3232.2
0.612819534528806,3212.4
0.608966043494849,3192.2
0.61266692102251,3211.6
0.610911865700114,3202.4
0.612781381152232,3212.2
0.614231209462037,3219.8
0.614917970240366,3223.4
0.612476154139641,3210.6
0.610682945440672,3201.2
0.616291491797024,3230.6
0.616711178939336,3232.8
0.615146890499809,3224.6
0.615681037771843,3227.4
0.614650896604349,3222
0.612781381152232,3212.2
0.613620755436856,3216.6
0.617016405951927,3234.4
0.61285768790538,3212.6
0.613010301411675,3213.4
0.614917970240366,3223.4
0.612743227775658,3212
0.614116749332316,3219.2
0.613048454788249,3213.6
0.611827546737886,3207.2
0.611140785959557,3203.6
0.616405951926746,3231.2
0.6154521175124,3226.2
0.610186951545212,3198.6
0.610721098817245,3201.4
0.615719191148417,3227.6
0.61415490270889,3219.4
0.614727203357497,3222.4
0.615413964135826,3226
0.61446012972148,3221
0.61446012972148,3221
0.615909958031286,3228.6
0.61285768790538,3212.6
